,Full Name,state,Total
700,Henry Gardner,RI,22.81
701,Henry Huntington,CT,177.27
702,Henry Jenks,RI,304.71
703,Henry Jennings,NC,188.18
704,Henry Laurens,GA,1668.292332
705,Henry Laurens',SC,2370.94
706,Henry Marchant,RI,47.38
707,Henry Rice,RI,4545.28
708,Henry Rung,PA,564.36
709,Henry Sherburne,RI,299611.0
710,Henry Sherburne transferred from the Register of the Treasury,RI,1329.21
711,Henry Tubman,MD,1103.18
712,Henry Tucker,SC,960.06
713,Henry Van Renselear,NY,537.84
714,Hezekiah B,PA,3203.45
715,Hezekiah Bellows,RI,9.8
716,Hezekiah Edgerton,CT,25.26
717,Hezekiah Niles,PA,414.77
718,Hezekiah Wyllys,CT,344.74
719,Hieronymus Geyer,PA,35.47
720,Hilda Van Schaick,NY,512.5
721,Hincha Gilliam,VA,630.33
722,Hipburn',VA,107.73
723,Hon Daniel,PA,226.56
724,Hon William,PA,481.9
725,Hope Warner,CT,300.0
726,Hopestill McNeal,RI,58.74
727,Hoppin',RI,691.14
728,Hopson Pinckney,SC,44.22
729,Horace Bucker admr L2 from,VA,139.41
730,Horace Buckner,VA,100.45
731,Horace Johnson,SC,3681.2
732,Howard Moulton,CT,433.46
733,Hugh Donaghe,VA,800.78
734,Hugh Swinton,SC,180.6
735,Hugh Williamson,PA,224.98
736,Humphery Brooke,VA,49.2
737,Hyam Levy,SC,13.23
738,Ichabod Cole,RI,181.24
739,Ichabod Nathup,RI,227.33
740,Ichabod Rollins,NH,325.71
741,Ignatius Fenwick,MD,8133.79
742,Ignatius Gardiner,MD,159.99
743,Imanuel Case,RI,327.85
744,Iq Smith,MD,2705.28
745,Isaac Angell,RI,243.75
746,Isaac Bailey,RI,453.86
747,Isaac Clason,NY,7447.2
748,Isaac Coats,PA,87.7
749,Isaac Cole,NC,2461.78
750,Isaac DaCosta,SC,42.48
751,Isaac De Sesseline,SC,245.64
752,Isaac Draper,RI,443.15
753,Isaac Gallup,CT,133.4
754,Isaac Gillet,CT,20.38
755,Isaac H Judah,VA,334.29
756,Isaac Hicks,VA,1638.17
757,Isaac Manchester,RI,75.0
758,Isaac Moses,GA,1506.3742
759,Isaac Motte,SC,80.61
760,Isaac Parker,SC,1028.65
761,Isaac Peace,SC,352.44
762,Isaac Pitman,RI,21.89
763,Isaac S  Keith,SC,3633.46
764,Isaac Tabor,RI,116.56
765,Isaac Vanmeter,VA,2215.73
766,Isaac Wharton,PA,3935.55
767,Isaac Whipoo,PA,2664.18
768,Isabel Marchant,RI,662.4
769,Isabell Abny,VA,304.47
770,Isacc Harleston,SC,3450.0
771,Isacc Hazelehurst,SC,233.74
772,Isham Jordan,VA,36.21
773,Israel Gorton,RI,64.38
774,Israel J Cohen,VA,861.13
775,Israel Jacobs,PA,171.48
776,Israel Joseph,SC,3265.96
