,Full Name,state,Total
633,John Hogg,NC,61.9
634,John Huger,SC,4175.0
635,John Humphries,NC,58.0
636,John Ingram,NC,122.69
637,John Jenckes,RI,2348.31
638,John Kisel,PA,88.86
639,John Laird,MD,32781.44
640,John Larsher,RI,626.22
641,John Lauback,PA,74.91
642,John Lewis Gervais,SC,307.16
643,John Linox,NC,58.24
644,John Low,RI,14.53
645,John Lowrance,NC,79.53
646,John M,PA,23300.54
647,John Mackenzie,SC,465.3
648,John Manson,SC,163.27
649,John McCrea,PA,980.65
650,John McGarvey,PA,178.27
651,John McIntire,PA,33.33
652,John Meals,GA,153.633566
653,John Merns,NJ,165.16
654,John Molich,SC,2500.0
655,John Motley,NY,690.73
656,John Mowatt,NY,738.32
657,John Munnikhuysen,MD,3671.5
658,John Munray,NH,61.0
659,John Nesbit,NC,342.14
660,John Olmsted,CT,1766.37
661,John Owen,SC,501.08
662,John Paul Grimke,SC,237.3594
663,John Paynter,BM,172.34
664,John Pitcher,RI,92.59
665,John Plehemus,NJ,359.43
666,John Rathbun,CT,1463.3
667,John Ridout,MD,38.85
668,John Robertson,GA,31.616999999999997
669,John Sellew,CT,80.0
670,John Shields,PA,636.87
671,John Shipman,CT,1071.53
672,John Splatt Cripps,SC,4207.0888
673,John Spurr,RI,1000.0
674,John Stille,PA,5.7
675,John Swanwick,PA,14786.83
676,John T Child,RI,810.57
677,John Travis,PA,10413.69
678,John Updike,RI,50.72
679,John Wagner,PA,1150.38
680,John Walker,NC,1361.92
681,John Waterman,RI,19.62
682,John Williamson,SC,222.36
683,John Woddrop,SC,3151.49
684,John Worthington,RI,658.53
685,Jon Starr,CT,28.62
686,Jonas Clapham,MD,2687.81
687,Jonas Elkin,SC,19.01
688,Jonathan B,PA,1372.45
689,Jonathan Barber,CT,14.4
690,Jonathan Dean,RI,297.26
691,Jonathan Dwight,MA,3605.0
692,Jonathan Enos,CT,30.75
693,Jonathan Glading,RI,270.0
694,Jonathan Langton,CT,12.4
695,Jonathan Maxson,RI,20.74
696,Jonathan Russell,CT,1680.0
697,Jonathan Wheeler,MA,651.9
698,Jorael Joseph,SC,36.9087
699,Joseph Abendanone,SC,2009.94
700,Joseph Akerman,NH,1113.07
701,Joseph Arnold,RI,400.0
702,Joseph Barker,RI,87.96
703,Joseph Birch,SC,75.0
704,Joseph Blague,CT,15.91
705,Joseph Blyth,SC,3454.9
706,Joseph Brevard,SC,3199.99
707,Joseph C,PA,4083.71
708,Joseph Caren,CT,1613.23
709,Joseph Cauffman,PA,175.9
710,Joseph Colton,CT,120.2
711,Joseph Dacosta,GA,32.1048
